unit,thickness,code,gs_base,gs_top,labels
1,1,gcm,cobb,,a
2,1.5,sh,c,,b
3,1.5,sh,m,,c
4,2.5,st,c,,
5,0.1,sh,m,,
6,1,sh,c,,
7,1,sh,c,,
8,2,st,m,,
9,1,sm,m,,
10,2,sh,c,,
11,1,st,m,,
12,2,sh,c,,
13,9,cov,,,
14,0.5,sm,gr,,
15,0.2,sh,c,,
16,0.5,gcm,cobb,,
17,0.2,fsl,si,,
18,1.2,sh,f,,
19,5,st,m,,
20,2,sh,m,,
21,0.3,gcm,pebb,,a
22,2.5,sh,c,,b
23,0.3,gcm,pebb,,c
24,0.2,sh,c,,
25,0.3,gcm,pebb,,
26,0.5,sh,c,,
27,1,cov,,,
28,1,sp,c,,
29,0.2,sh,m,,
30,6,sh,m,,
31,0.4,sh,m,,
32,1.5,sm,m,,
33,2,sh,m,,
34,0.3,sh,vc,,
35,2.5,sm,c,,
36,0.3,st,m,,
37,1.5,gcm,pebb,,
38,2.5,st,c,,
39,1,sh,c,,
40,1.5,sh,c,,
41,2.3,sm,gr,c,
42,0.1,gcm,pebb,,
43,0.5,sm,m,,
44,4.5,gch,cobb,pebb,
45,2,st,c,,
46,2.5,st,c,,
47,1.5,st,m,,
48,5,gch,pebb,,a
49,5,gcp,pebb,,b
50,4.5,sh,c,,c
51,3,sp,m,,
52,1.5,sh,f,,
53,0.1,fsl,si,,
54,1.2,gcp,pebb,cobb,
55,0.7,gcp,pebb,cobb,
56,0.5,sp,vc,,
57,3,sh,vc,,
58,1.6,sh,vc,,
59,1.5,sm,c,,a
60,0.7,sh,c,,b
61,0.3,sp,c,,c
62,1.5,gcm,cobb,,
63,3,gmm,cobb,,
64,1.5,sp,c,,
65,0.1,gcm,cobb,,
66,3,sp,c,,
67,0.4,gch,cobb,,
68,0.2,sh,c,,
69,0.1,gcp,cobb,,
70,1.3,sh,c,,
71,0.5,gcm,gr,cobb,
72,1,sh,c,,
73,4,fsl,si,,
74,1.2,gcm,cobb,,
75,0.4,sh,vc,,
76,1.5,gcp,vc,,a
77,0.2,fsl,si,,b
78,0.1,sh,c,,c
79,1.6,st,vc,,
80,0.4,fsl,si,,
81,0.6,sh,m,,
82,0.2,fsl,si,,a
83,0.6,sh,m,,b
84,0.2,sh,m,,c
85,0.7,sp,c,,
86,1.5,fsr,si,,
87,0.1,sr,f,,a
88,0.1,fsr,si,,b
89,0.1,sr,f,,c
90,0.2,fsr,si,,
91,1.3,fsr,si,,
92,0.1,sr,f,,
93,0.6,fsr,si,,
94,0.4,sh,f,,
95,1.3,fsr,vf,,
96,0.2,sm,f,,
97,0.2,fsr,si,,
98,0.1,sr,f,,
99,0.3,fsr,si,,
100,0.1,sr,f,,a
101,1,fsr,si,f,b
102,1.5,sp,c,,c
103,0.4,st,c,,
104,0.6,fsr,si,,
105,0.7,st,c,,
106,0.1,sh,m,,a
107,0.2,st,c,,b
108,1.4,sh,m,,c
109,0.5,sp,c,,
110,0.1,fsr,si,,
111,0.5,sp,m,,
112,0.2,sh,f,,
113,1.4,sh,f,,a
114,15,inaccessible,,,b
115,3,gcp,cobb,,c
116,4,sp,vc,,
117,1.5,sp,c,,
118,3,sh,vc,,
119,1.5,sh,m,,
120,1.5,sp,c,,
121,1,sh,m,,
122,1.5,sp,m,,
123,2.3,sp,m,,
124,2.5,sp,m,,
125,1.5,gcp,pebb,,
126,1,sh,c,,a
127,5,sh,c,,b
128,1.5,gcm,cobb,,c
129,1,sm,m,,
130,3,sm,m,,
131,5,sh,c,,
132,5,sh,c,,
133,5,sh,c,,
134,0.4,sm,c,,
135,3,sh,c,,a
136,2,gcm,cobb,,b
137,2,sm,vc,,c
138,2,gcm,pebb,,
139,4,sp,c,,
140,4,sp,c,,
141,2,sh,c,,
142,2.5,sm,m,pebb,
143,1,sm,m,,a
144,1.5,fsl,si,,b
145,1,fsm,si,,c
146,3,sr,f,,a
147,1.2,gcm,pebb,,b
148,1,sm,m,,c
149,0.7,st,c,,a
150,0.8,st,c,,b
151,0.4,sm,m,,c
152,1,gcm,pebb,,a
153,3,sm,m,,b
154,1,sh,m,,c
155,0.7,st,m,,a
156,0.8,fsr,si,,b
157,0.3,sh,m,,c
158,1.5,sp,m,,a
159,1,sh,c,,b
160,0.4,sp,c,,c
161,1.2,st,c,,a
162,0.3,fsm,si,,b
163,0.5,sp,c,,c
164,0.3,sp,m,,a
165,2,st,m,,b
166,0.4,fsr,si,,c
167,0.2,sh,f,,a
168,0.2,gmm,cobb,,b
169,0.4,sh,f,,c
170,1.1,gmm,cobb,,a
171,4,sh,m,,b
172,4,st,m,,c
173,1.5,sh,c,,
174,1,sp,m,,
175,0.4,sp,m,,
176,0.6,sh,f,,
177,1,gmm,cobb,,
178,1.2,fsl,si,,
179,1.5,sp,m,,
180,1,sh,m,,
181,1,sh,c,,
182,1.5,sp,m,,
183,1.5,sp,m,,
184,0.4,sh,c,,
185,0.6,st,c,,
186,0.5,sh,m,,
187,0.5,sp,c,,
188,2,sp,m,,
189,1,sh,m,,
190,0.4,sh,c,,
191,0.2,st,m,,
192,0.5,sh,m,,
193,0.7,sm,c,,
194,1,sh,m,,
195,2,gcm,cobb,,
196,1,sp,c,,
197,2,st,vc,,
198,1.3,sh,m,,
199,1.9,sp,c,,
200,2,sm,m,,
201,1.4,st,c,,
202,1.6,sp,m,,
203,2,sh,c,,
204,2.2,sh,c,,
205,2.4,st,c,,
206,3,sp,vc,,
207,2.5,sh,c,,
208,0.3,gmm,pebb,,
209,0.7,sm,c,,
210,0.3,fsl,si,,
211,0.3,sm,gr,,
212,0.6,fsl,si,,
213,3,sp,m,,
214,1.2,sh,m,,
215,2,fsl,si,,
